source_id	distance_parallax(pc)	distance_error_parallax (pc)	distance_cepheid	distance_error_cepheid
3442172745919329664	NULL	NULL	4692.42665541462	23.770365666796348
4704080802304630784	NULL	NULL	92029.70349851594	466.19369145435854
5521400228203695232	NULL	NULL	12572.511416568635	63.68841021243447
6379351625245757568	NULL	NULL	75455.33782218958	382.23313932364783
4711142067840447360	NULL	NULL	81180.7649227486	411.2363621277447
4639539705975935360	NULL	NULL	84699.74491369029	429.0624140410553
4690768156035338624	NULL	NULL	68041.3432900149	344.6761620871333
4703965697180635136	NULL	NULL	84233.97680069802	426.70297847076586
4666616485480394368	NULL	NULL	45340.61872190385	229.6813921076016
4691081375113472256	NULL	NULL	81883.54828559479	414.7964428165112
4637614151878607232	NULL	NULL	90630.47038285127	459.10561416410184
5834840099568788864	NULL	NULL	10998.855758906435	55.71676288298928
4636112425153243904	NULL	NULL	67428.24438821326	341.57039482513045
4690721839108141568	NULL	NULL	65559.76621163845	332.1052688340055
4698739817197286912	NULL	NULL	65313.96022977875	330.860092616888
5298606801235832064	NULL	NULL	113425.300662754	574.5770942437351
5850083595712857472	NULL	NULL	32887.3298888278	166.59692621086333
4690414800484275840	NULL	NULL	69617.8237523866	352.66211899365084
5935901715187592704	NULL	NULL	20657.894421892022	104.64643144668554
5615958881027868544	NULL	NULL	14613.790779301577	74.02889296121803
4627114812265929856	NULL	NULL	88922.45699110764	450.453352580283
4690838421706602624	NULL	NULL	77483.99004075842	392.5096569098088
4637822960304562560	NULL	NULL	72377.78797103663	366.643234421184
6027070573648725632	4807.692307692308	716.5310650887574	8732.872872039594	44.238002367175035
5321579073778197888	NULL	NULL	15636.367467499404	79.20894660633061
6008381624727734784	NULL	NULL	28858.85268177141	146.1899207691078
4649187405119614848	NULL	NULL	62695.01411023865	317.5933307696311
4108167833903339520	NULL	NULL	20535.79420417975	104.0279099361432
4691023998645738368	NULL	NULL	69252.87376856263	350.81339653027953
4650261219962135424	NULL	NULL	57153.24189075446	289.52044614665493
426580107514101376	NULL	NULL	13417.45409725114	67.96862553857719
4684195339947360512	NULL	NULL	85654.02039836669	433.8964751534316
2031982665929461504	NULL	NULL	18035.986883486603	91.36466797777526
181620805307496192	NULL	NULL	11519.09315614521	58.35212280952934
4702506576531479424	NULL	NULL	73382.07671957437	371.7306470843622
2021540814501736320	NULL	NULL	18823.22551229906	95.35257262670707
4684369749977673472	NULL	NULL	89537.13172762157	453.5671025280244
4392367984521092608	NULL	NULL	24426.319062877574	123.73609193197605
4652327614621999872	NULL	NULL	73599.70334701877	372.8330755063847
5516409029527928064	NULL	NULL	15661.685793095092	79.33720132434226
5814577169727787392	NULL	NULL	18554.082960091277	93.98918064377824
4189050211325803008	NULL	NULL	96055.50508287118	486.58714302843254
