source_id	parallax (mas)	parallax_error(mas)	distance(pc)	distance_error (pc)
2939657105521030784	2.3003799855808227	0.028707663765902117	434.7107896383084	5.424986855463103
5125677197260984960	3.496434444981584	0.033826356850080834	286.0056482498322	2.7669699721450023
3029904233962949760	2.108675630748912	0.030717489609630007	474.2313068059891	6.908220034866425
2985801237716454144	7.063645752057831	0.01807673852380425	141.56995340666296	0.36229492819821196
3187547263338750464	2.168756047708014	0.027577669128550638	461.0938150728481	5.863219462944454
4452018173956130176	4.987926584302899	0.024995204730655522	200.48410558948865	1.004654174386164
3221256537500599296	5.295692119881496	0.03331935972602856	188.83272995530137	1.1880950619858714
2659144480657871616	2.238941598467248	0.03384565026245856	446.6396089494196	6.751765212729128
3715016831229425536	2.610769211231477	0.0267244633840169	383.02887735078997	3.920775978108743
4424167475702915456	2.102645872779533	0.02338063207852651	475.59126001473487	5.2883961175393175
644969539419301120	2.061304080244458	0.02985657526859012	485.1297824440371	7.02677203397249
114744831612315392	2.3095806035531803	0.03655703422090127	432.97904323475325	6.853378347616307
3371059598009666944	2.576179544010311	0.025703697095419507	388.17170267694576	3.8729629267569097
305443127605539584	5.641786538398164	0.02388832207886726	177.2488188260883	0.7505028493010957
287394369358593408	2.2009934559838764	0.03299730395586994	454.3402876920346	6.811471670491548
1091796702578334464	2.218031983292486	0.0267321063053366	450.8501263879803	5.433723948600359
1709765908615547136	2.190481662770386	0.013893864613794141	456.5205986409683	2.8956350097465964
3131019308974991616	2.1932316218371035	0.02539190194573752	455.9481953676995	5.278690929786567
6658255016060662656	2.504317243402197	0.03868151495416069	399.31043186903395	6.167721953912913
4832229191759605760	6.578987092717274	0.02314354274027465	151.99908221540176	0.534701954291529
5907536097546821632	2.6641298854187685	0.03537911029199265	375.3570745454898	4.984666630522472
6576239729322867584	3.170243420873214	0.039158475373809905	315.4331914754228	3.896193831409449
4822137118126165760	2.0654402199890813	0.023268018619059465	484.1582875757529	5.454238733641063
5590699594236993536	3.04231428911842	0.03127230383699264	328.6971380888372	3.3787162652556364
4838608936180824704	2.661339432565889	0.023402735774074652	375.75064186226916	3.3041982096824962
4838448368827409024	4.119272318677832	0.022798166562843197	242.76132351477338	1.343565722375569
5593525339121227776	2.2757206020528264	0.03165899100661749	439.42125368902686	6.1130674416307595
6734476048353351936	3.262553423350194	0.037520109752328785	306.5083908949872	3.524916522157807
5437438840238543616	3.223757584518378	0.03109848102232556	310.1970212656042	2.9923640119024326
4822835995204559744	4.943059380773014	0.02861996776258266	202.30386142834809	1.1713251948472165
6158729836833073536	2.248203513862007	0.03722008300059386	444.79958946518184	7.363869657015536
5587793168387346688	3.0289311481319676	0.028161189721364655	330.1494656346777	3.069532215639601
6707205754775067776	3.166701056668906	0.03748474642624689	315.7860442475467	3.738009866336588
5518215355327786496	3.3193622648662595	0.024619609670167807	301.2626884942584	2.2344562621015496
6668139591232567040	2.486996356328435	0.039701130993785076	402.09146163619835	6.418781334070062
4807053188685712000	2.180858730266049	0.022299237437664602	458.5349734588297	4.688511046006315
6005570890740868096	2.3205880574883135	0.036817478804039704	430.92525481767285	6.836879722869546
5628375665832966016	2.0774010894425876	0.02626214063894756	481.370692006483	6.085403958430505
5591643662409884544	4.186823103100014	0.02494079761174782	238.84457866385094	1.4227910161066073
5362606525529977216	3.0257456540477863	0.029188928927114638	330.4970457983534	3.1882570061776687
4837147891386020224	2.054004694818411	0.019842145578391902	486.85380443514873	4.703116836765651
5371624891701143936	2.324650245810868	0.03767620037483756	430.17223851288946	6.971911358756137
5419510375434911872	4.379452699346786	0.029851823418109474	228.3390342700023	1.556435700631369
2306346143158520320	11.282983148993813	0.03850972886412312	88.62904311695064	0.3024980516987492
5431818102438136192	2.2466563835734426	0.039792072761745866	445.1058948362364	7.883575914637207
4944593125428440192	3.3138368689549114	0.026542160118386112	301.7650052023747	2.416985326357665
5568365347679612032	3.2766671576578785	0.021577084060323683	305.18815365878896	2.009685491039498
5571321388987102976	2.617253620481895	0.019057999398734208	382.07989939311943	2.7821829859812275
6544095266367507584	2.9236125661879124	0.03422509959527196	342.0425851103439	4.004101527203993
4994692858080041472	4.9940152186912865	0.0340605100891209	200.23967813659493	1.3656877840274397
6568879151810359168	2.699829412813362	0.0399645346287811	370.39377201167247	5.482796304682171
6676963790520738176	2.655534021255505	0.037885660214596835	376.5720913367217	5.372434389651707
5331787626915349376	3.2917469423134715	0.03313218410575568	303.7900596627244	3.057716271217965
6132680761401314560	5.989902429618437	0.03627695934910588	166.9476275699037	1.011093648009365
6565059895091598208	2.372841166688831	0.03944137876899222	421.43570924110566	7.005106649490752
4994525693657237248	4.633483654458681	0.03099257239187889	215.82033618219972	1.443584976571565
5332189257899844992	2.1829920104279665	0.034778782190824135	458.0868804022577	7.29810451063487
6137579841616382592	3.743396444471404	0.0323755921668794	267.13708121321025	2.3103941359945117
5368218054919332608	3.443130108025649	0.03289684932206407	290.43340467125637	2.774900643253068
5413251749091800192	3.429465902080243	0.02881227603749943	291.59059414861673	2.4497659193672994
5046916739822623744	5.43578262308945	0.02657610223746136	183.96614974122085	0.8994294920822402
5552126321148360320	3.6830773555182126	0.01910356038549919	271.51208173831554	1.4082917485046165
6130850555581258496	3.147757557075689	0.034900301785002946	317.68647421786005	3.522302344503679
5362271449360909056	2.9499898769640907	0.03484005729207577	338.9842140845328	4.003481344813498
6479348874897672832	2.272496644001496	0.03674066167509947	440.04465425267387	7.114435925135285
6482119644199321856	2.193584682765552	0.03306945523954593	455.8748097836161	6.872555108275737
4866550000543859968	2.5973120254196767	0.02176094261281104	385.0134255003185	3.2257406793935206
4821980265920363776	8.161355791995867	0.02138371110075531	122.52866135069564	0.3210394893523943
5435076367707506432	18.200801220991682	0.036956219456173	54.94263619816152	0.11155949104581785
5542977491063553280	2.0454472298565216	0.027756020608133775	488.89063741338623	6.634079045941192
6741119709887078400	14.753804807823863	0.03475992889479596	67.77912633558127	0.15968745978846247
5398484826890639616	4.71784150452394	0.032378714492853025	211.9613384724984	1.4546982248859022
5875583400660985088	3.7192769235582075	0.030453650611617773	268.86946590771913	2.201518451885668
6478863887190378240	3.3687600653628857	0.03693107554278365	296.8451241992146	3.2542566088414095
6058555879362772864	2.463993783324621	0.029104534265606007	405.84517979210096	4.793816860143457
